id,name,alcoholic,category,glassType,instructions,ingredients,ingredientMeasures,combinedIngredients
127,GG,Optional alcohol,Ordinary Drink,Collins Glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,"['Galliano', 'Ginger ale', 'Ice']","['2 1/2 shots ', None, None]","['Galliano (2 1/2 shots)', 'Ginger ale', 'Ice']"
128,Gimlet,Alcoholic,Cocktail,Martini Glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","['Gin', 'Lime Juice', 'Sugar Syrup', 'Lime']","['2 1/2 oz', '1/2 oz', '1/2 oz', '1']","['Gin (2 1/2 oz)', 'Lime Juice (1/2 oz)', 'Sugar Syrup (1/2 oz)', 'Lime (1)']"
129,Godchild,Alcoholic,Ordinary Drink,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","['Vodka', 'Amaretto', 'Heavy cream']","['1 oz ', '1 oz ', '1 oz ']","['Vodka (1 oz)', 'Amaretto (1 oz)', 'Heavy cream (1 oz)']"
130,Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.","['Gin', 'Lemon', 'Powdered sugar', 'Carbonated water']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', None]","['Gin (2 oz)', 'Lemon (Juice of 1/2)', 'Powdered sugar (1 tsp)', 'Carbonated water']"
131,Gin Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","['Gin', 'Lemon juice', 'Sugar', 'Orange', 'Maraschino cherry']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1 ', '1 ']","['Gin (2 oz)', 'Lemon juice (1 oz)', 'Sugar (1/2 tsp superfine)', 'Orange (1)', 'Maraschino cherry (1)']"
132,Gagliardo,Alcoholic,Cocktail,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.","['Peach Vodka', 'Lemon juice', 'Galliano', 'Sirup of roses']","['5 parts ', '3 parts ', '1 part ', '1 part ']","['Peach Vodka (5 parts)', 'Lemon juice (3 parts)', 'Galliano (1 part)', 'Sirup of roses (1 part)']"
133,Godmother,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,"['Vodka', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']","['Vodka (1 1/2 oz)', 'Amaretto (3/4 oz)']"
134,Godfather,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,"['Scotch', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']","['Scotch (1 1/2 oz)', 'Amaretto (3/4 oz)']"
135,Gluehwein,Optional alcohol,Punch / Party Drink,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.","['Red wine', 'Water', 'Sugar', 'Cinnamon', 'Cloves', 'Lemon peel']","['1 L ', '125 ml ', '60 gr ', '1 ', '3 ', '1 tblsp ']","['Red wine (1 L)', 'Water (125 ml)', 'Sugar (60 gr)', 'Cinnamon (1)', 'Cloves (3)', 'Lemon peel (1 tblsp)']"
136,Gin Tonic,Alcoholic,Cocktail,Highball glass,"Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.","['Gin', 'Tonic Water', 'Lemon Peel', 'Ice']","['4 cl', '10 cl', '1 Slice', 'cubes']","['Gin (4 cl)', 'Tonic Water (10 cl)', 'Lemon Peel (1 Slice)', 'Ice (cubes)']"
137,Gin Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.","['Gin', 'Water', 'Powdered sugar', 'Lemon peel']","['2 oz ', '2 tsp ', '1/2 tsp ', '1 twist of ']","['Gin (2 oz)', 'Water (2 tsp)', 'Powdered sugar (1/2 tsp)', 'Lemon peel (1 twist of)']"
138,Gin Smash,Alcoholic,Ordinary Drink,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.","['Gin', 'Carbonated water', 'Sugar', 'Mint', 'Orange', 'Cherry']","['2 oz ', '1 oz ', '1 cube ', '4 ', '1 slice ', '1 ']","['Gin (2 oz)', 'Carbonated water (1 oz)', 'Sugar (1 cube)', 'Mint (4)', 'Orange (1 slice)', 'Cherry (1)']"
139,Gin Daisy,Alcoholic,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.","['Gin', 'Lemon juice', 'Sugar', 'Grenadine', 'Maraschino cherry', 'Orange']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1/2 tsp ', '1 ', '1 ']","['Gin (2 oz)', 'Lemon juice (1 oz)', 'Sugar (1/2 tsp superfine)', 'Grenadine (1/2 tsp)', 'Maraschino cherry (1)', 'Orange (1)']"
140,Gin Lemon,Alcoholic,Cocktail,Highball glass,"For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.","['Gin', 'Lemon Juice', 'Lemon Peel', 'Ice']","['6 cl', '8 cl', '1 Slice', 'cubes']","['Gin (6 cl)', 'Lemon Juice (8 cl)', 'Lemon Peel (1 Slice)', 'Ice (cubes)']"
141,Gin Sling,Alcoholic,Ordinary Drink,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,"['Gin', 'Lemon', 'Powdered sugar', 'Water', 'Orange peel']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tsp ', 'Twist of ']","['Gin (2 oz)', 'Lemon (Juice of 1/2)', 'Powdered sugar (1 tsp)', 'Water (1 tsp)', 'Orange peel (Twist of)']"
142,Greyhound,Alcoholic,Cocktail,Collins glass,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

","['Vodka', 'Grapefruit Juice']","['1 1/2 oz', '3 oz']","['Vodka (1 1/2 oz)', 'Grapefruit Juice (3 oz)']"
143,Gin Rickey,Alcoholic,Cocktail,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,"['Gin', 'Grenadine', 'lemon', 'Soda Water', 'Lime']","['2 oz ', '1 tsp ', 'Juice of 1/2 ', 'Top up with', 'Garnish']","['Gin (2 oz)', 'Grenadine (1 tsp)', 'lemon (Juice of 1/2)', 'Soda Water (Top up with)', 'Lime (Garnish)']"
144,Gin Squirt,Alcoholic,Ordinary Drink,Highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.","['Gin', 'Grenadine', 'Powdered sugar', 'Pineapple', 'Strawberries', 'Carbonated water']","['1 1/2 oz ', '1 tsp ', '1 tblsp ', '3 chunks', '2 ', None]","['Gin (1 1/2 oz)', 'Grenadine (1 tsp)', 'Powdered sugar (1 tblsp)', 'Pineapple (3 chunks)', 'Strawberries (2)', 'Carbonated water']"
145,Grand Blue,Alcoholic,Ordinary Drink,Old-fashioned glass,Serve in an old fashioned glass.,"['Malibu rum', 'Peach schnapps', 'Blue Curacao', 'Sweet and sour']","['1 1/2 cl ', '1 1/2 cl ', '1 1/2 cl ', '3 cl ']","['Malibu rum (1 1/2 cl)', 'Peach schnapps (1 1/2 cl)', 'Blue Curacao (1 1/2 cl)', 'Sweet and sour (3 cl)']"
146,Gin Cooler,Alcoholic,Ordinary Drink,Collins glass,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,"['Gin', 'Carbonated water', 'Powdered sugar', 'Orange spiral', 'Lemon peel']","['2 oz ', None, None, None, None]","['Gin (2 oz)', 'Carbonated water', 'Powdered sugar', 'Orange spiral', 'Lemon peel']"
147,Gin Swizzle,Alcoholic,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.","['Lime juice', 'Sugar', 'Gin', 'Bitters', 'Club soda']","['1 1/2 oz ', '1 tsp superfine ', '2 oz ', '1 dash ', '3 oz ']","['Lime juice (1 1/2 oz)', 'Sugar (1 tsp superfine)', 'Gin (2 oz)', 'Bitters (1 dash)', 'Club soda (3 oz)']"
148,Grass Skirt,Alcoholic,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.","['Gin', 'Triple sec', 'Pineapple juice', 'Grenadine', 'Pineapple']","['1 1/2 oz ', '1 oz ', '1 oz ', '1/2 tsp ', '1 ']","['Gin (1 1/2 oz)', 'Triple sec (1 oz)', 'Pineapple juice (1 oz)', 'Grenadine (1/2 tsp)', 'Pineapple (1)']"
149,Grasshopper,Alcoholic,Ordinary Drink,Cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,"['Green Creme de Menthe', 'Creme de Cacao', 'Light cream']","['3/4 oz ', '3/4 oz white ', '3/4 oz ']","['Green Creme de Menthe (3/4 oz)', 'Creme de Cacao (3/4 oz white)', 'Light cream (3/4 oz)']"
150,Grim Reaper,Alcoholic,Ordinary Drink,Old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,"['Kahlua', '151 proof rum', 'Grenadine']","['1 oz ', '1 oz Bacardi ', '1 dash ']","['Kahlua (1 oz)', '151 proof rum (1 oz Bacardi)', 'Grenadine (1 dash)']"
151,Gin and Soda,Alcoholic,Cocktail,Highball glass,"Pour the Gin and Soda water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge.","['Gin', 'Soda Water', 'Lime']","['2 oz', '5 oz', '1/4']","['Gin (2 oz)', 'Soda Water (5 oz)', 'Lime (1/4)']"
152,H.D.,Alcoholic,Coffee / Tea,Beer mug,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,"['Whisky', 'Baileys irish cream', 'Coffee']","['4 cl ', '8 cl ', None]","['Whisky (4 cl)', 'Baileys irish cream (8 cl)', 'Coffee']"
153,Honey Bee,Alcoholic,Cocktail,Margarita glass,"Shake ingredients with crushed ice
","['White Rum', 'Honey', 'Lemon Juice']","['6 cl', '2 cl', '2 cl']","['White Rum (6 cl)', 'Honey (2 cl)', 'Lemon Juice (2 cl)']"
154,Hot Toddy,Alcoholic,Cocktail,Irish coffee cup,"STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.","['Whiskey', 'Honey', 'Cinnamon', 'lemon', 'Cloves']","['50 ml', '15 ml', '1', '1', '2']","['Whiskey (50 ml)', 'Honey (15 ml)', 'Cinnamon (1)', 'lemon (1)', 'Cloves (2)']"
155,Herbal flame,Alcoholic,Coffee / Tea,Mason jar,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.","['Hot Damn', 'Tea']","['5 shots ', 'very sweet ']","['Hot Damn (5 shots)', 'Tea (very sweet)']"
156,Horse's Neck,Alcoholic,Ordinary Drink,Highball glass,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.","['Lemon peel', 'Brandy', 'Ginger ale', 'Bitters']","['1 long strip ', '2 oz ', '5 oz ', '2 dashes ']","['Lemon peel (1 long strip)', 'Brandy (2 oz)', 'Ginger ale (5 oz)', 'Bitters (2 dashes)']"
157,Happy Skipper,Alcoholic,Ordinary Drink,Highball glass,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)","['Spiced rum', 'Ginger ale', 'Lime', 'Ice']","['1 1/2 cl ', None, None, None]","['Spiced rum (1 1/2 cl)', 'Ginger ale', 'Lime', 'Ice']"
158,Hunter's Moon,Alcoholic,Cocktail,Balloon Glass,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.","['Vermouth', 'Maraschino Cherry', 'Sugar Syrup', 'Lemonade', 'Blackberries']","['25 ml', '15 ml', '10 ml', '100 ml', '2']","['Vermouth (25 ml)', 'Maraschino Cherry (15 ml)', 'Sugar Syrup (10 ml)', 'Lemonade (100 ml)', 'Blackberries (2)']"
159,Halloween Punch,Alcoholic,Punch / Party Drink,Punch bowl,"Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.","['Cherry Juice', 'Orange Peel', 'Red Chili Flakes', 'Cloves', 'Ginger', 'Vodka']","['1 bottle', '3', '1', '10', '6', '20 cl']","['Cherry Juice (1 bottle)', 'Orange Peel (3)', 'Red Chili Flakes (1)', 'Cloves (10)', 'Ginger (6)', 'Vodka (20 cl)']"
160,Havana Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['Light rum', 'Pineapple juice', 'Lemon juice']","['1 oz ', '1 oz ', '1 tsp ']","['Light rum (1 oz)', 'Pineapple juice (1 oz)', 'Lemon juice (1 tsp)']"
161,Holloween Punch,Non alcoholic,Punch / Party Drink,Punch bowl,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.","['Grape juice', 'Carbonated soft drink', 'Sherbet', 'Sherbet']","[None, ', orange\n', None, None]","['Grape juice', 'Carbonated soft drink (, orange)', 'Sherbet', 'Sherbet']"
162,Homemade Kahlua,Alcoholic,Homemade Liqueur,Collins Glass,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.","['Sugar', 'Corn syrup', 'Coffee', 'Vanilla extract', 'Water', 'Vodka']","['2 1/2 cups ', '1 cup ', '1 1/2 oz instant ', '2 oz ', '3 cups boiling ', '1 fifth ']","['Sugar (2 1/2 cups)', 'Corn syrup (1 cup)', 'Coffee (1 1/2 oz instant)', 'Vanilla extract (2 oz)', 'Water (3 cups boiling)', 'Vodka (1 fifth)']"
163,Hot Creamy Bush,Alcoholic,Coffee / Tea,Irish coffee cup,Combine all ingredients in glass,"['Irish whiskey', 'Baileys irish cream', 'Coffee']","['1 shot ', '3/4 shot ', '6 oz hot ']","['Irish whiskey (1 shot)', 'Baileys irish cream (3/4 shot)', 'Coffee (6 oz hot)']"
164,Harvey Wallbanger,Alcoholic,Ordinary Drink,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.","['Vodka', 'Galliano', 'Orange juice']","['1 oz ', '1/2 oz ', '4 oz ']","['Vodka (1 oz)', 'Galliano (1/2 oz)', 'Orange juice (4 oz)']"
165,Hawaiian Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","['Gin', 'Triple sec', 'Pineapple juice']","['2 oz ', '1/2 oz ', '1 tblsp ']","['Gin (2 oz)', 'Triple sec (1/2 oz)', 'Pineapple juice (1 tblsp)']"
166,Hemingway Special,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,"['Rum', 'Grapefruit Juice', 'Maraschino Liqueur', 'Lime Juice']","['12 parts', '8 parts', '3 parts', '3 parts']","['Rum (12 parts)', 'Grapefruit Juice (8 parts)', 'Maraschino Liqueur (3 parts)', 'Lime Juice (3 parts)']"
167,Highland Fling Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,"['Scotch', 'Sweet Vermouth', 'Orange bitters', 'Olive']","['1 1/2 oz ', '3/4 oz ', '2 dashes ', '1 ']","['Scotch (1 1/2 oz)', 'Sweet Vermouth (3/4 oz)', 'Orange bitters (2 dashes)', 'Olive (1)']"
168,Hot Chocolate to Die for,Non alcoholic,Cocoa,Coffee mug,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.","['Chocolate', 'Butter', 'Vanilla extract', 'Half-and-half', 'Marshmallows']","['12 oz fine ', '1 tsp ', '1/2 tsp ', '1 cup ', 'mini ']","['Chocolate (12 oz fine)', 'Butter (1 tsp)', 'Vanilla extract (1/2 tsp)', 'Half-and-half (1 cup)', 'Marshmallows (mini)']"
169,Ipamena,Non alcoholic,Ordinary Drink,Wine Glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","['Lime', 'Brown sugar', 'Passion fruit juice', 'Ginger ale', 'Ice']","['½', '2 tsp', '4 cl', 'top up with', 'fill']","['Lime (½)', 'Brown sugar (2 tsp)', 'Passion fruit juice (4 cl)', 'Ginger ale (top up with)', 'Ice (fill)']"
170,Ice Pick,Alcoholic,Ordinary Drink,Collins Glass,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,"['Vodka', 'Iced tea', 'Lemon juice']","['1 1/2 oz ', '6 oz ', ' to taste\n']","['Vodka (1 1/2 oz)', 'Iced tea (6 oz)', 'Lemon juice (to taste)']"
171,Iced Coffee,Non alcoholic,Coffee / Tea,Coffee mug,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,"['Coffee', 'Sugar', 'Water', 'Milk']","['1/4 cup instant ', '1/4 cup ', '1/4 cup hot ', '4 cups cold ']","['Coffee (1/4 cup instant)', 'Sugar (1/4 cup)', 'Water (1/4 cup hot)', 'Milk (4 cups cold)']"
172,Irish Cream,Alcoholic,Homemade Liqueur,Irish coffee cup,Mix scotch and milk. Add half-and-half. Add rest.,"['Scotch', 'Half-and-half', 'Condensed milk', 'Coconut syrup', 'Chocolate syrup']","['1 cup ', '1 1/4 cup ', '1 can sweetened ', '3 drops ', '1 tblsp ']","['Scotch (1 cup)', 'Half-and-half (1 1/4 cup)', 'Condensed milk (1 can sweetened)', 'Coconut syrup (3 drops)', 'Chocolate syrup (1 tblsp)']"
173,Irish Coffee,Alcoholic,Coffee / Tea,Irish coffee cup,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.","['Irish whiskey', 'Coffee', 'Sugar', 'Whipped cream']","['1 1/2 oz ', '8 oz ', '1 tsp ', '1 tblsp ']","['Irish whiskey (1 1/2 oz)', 'Coffee (8 oz)', 'Sugar (1 tsp)', 'Whipped cream (1 tblsp)']"
174,Irish Spring,Alcoholic,Ordinary Drink,Collins glass,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.","['Irish whiskey', 'Peach brandy', 'Orange juice', 'Sweet and sour', 'Orange', 'Cherry']","['1 oz ', '1/2 oz ', '1 oz ', '1 oz ', '1 slice ', '1 ']","['Irish whiskey (1 oz)', 'Peach brandy (1/2 oz)', 'Orange juice (1 oz)', 'Sweet and sour (1 oz)', 'Orange (1 slice)', 'Cherry (1)']"
175,Imperial Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","['Light rum', 'Blended whiskey', 'Lemon', 'Powdered sugar', 'Carbonated water']","['1/2 oz ', '1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ', None]","['Light rum (1/2 oz)', 'Blended whiskey (1 1/2 oz)', 'Lemon (Juice of 1/2)', 'Powdered sugar (1 tsp)', 'Carbonated water']"
176,Irish Russian,Alcoholic,Beer,Highball glass,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,"['Vodka', 'Kahlua', 'Coca-Cola', 'Guinness stout']","['1 shot ', '1 shot ', '1 dash ', 'Fill with ']","['Vodka (1 shot)', 'Kahlua (1 shot)', 'Coca-Cola (1 dash)', 'Guinness stout (Fill with)']"
177,Imperial Cocktail,Alcoholic,Cocktail,Cocktail glass,Shake with ice and strain into cocktail glass.,"['Lime juice', 'Gin', 'Aperol']","['4 cl ', '2 cl ', '4 cl ']","['Lime juice (4 cl)', 'Gin (2 cl)', 'Aperol (4 cl)']"
178,Iced Coffee Fillip,Alcoholic,Coffee / Tea,Coffee mug,Mix together in a coffee mug and chill before serving.,"['Kahlua', 'Coffee']","['2 tsp ', 'Strong cold ']","['Kahlua (2 tsp)', 'Coffee (Strong cold)']"
179,Irish Curdling Cow,Alcoholic,Cocktail,Highball glass,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.","['Baileys irish cream', 'Bourbon', 'Vodka', 'Orange juice']","['3/4 oz ', '3/4 oz ', '3/4 oz ', '2-3 oz ']","['Baileys irish cream (3/4 oz)', 'Bourbon (3/4 oz)', 'Vodka (3/4 oz)', 'Orange juice (2-3 oz)']"
180,Jam Donut,Alcoholic,Shot,Shot glass,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","['Baileys irish cream', 'Chambord raspberry liqueur', 'Sugar syrup', 'Sugar']","['2/3 oz', '1/3 oz', '1 tsp', '2 pinches']","['Baileys irish cream (2/3 oz)', 'Chambord raspberry liqueur (1/3 oz)', 'Sugar syrup (1 tsp)', 'Sugar (2 pinches)']"
181,Jitterbug,Alcoholic,Cocktail,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","['Gin', 'Vodka', 'Grenadine', 'Lime juice', 'Sugar', 'Sugar syrup', 'Soda water']","['2 jiggers ', '1 jigger ', '3 dashes ', '1 shot ', 'Around rim put 1 pinch ', '3 dashes ', 'Fill to top with ']","['Gin (2 jiggers)', 'Vodka (1 jigger)', 'Grenadine (3 dashes)', 'Lime juice (1 shot)', 'Sugar (Around rim put 1 pinch)', 'Sugar syrup (3 dashes)', 'Soda water (Fill to top with)']"
182,Jackhammer,Alcoholic,Ordinary Drink,Collins Glass,"Serve over ice- Warning,Deadly!","['Jack Daniels', 'Amaretto']","['1 oz ', '1 oz ']","['Jack Daniels (1 oz)', 'Amaretto (1 oz)']"
183,Jelly Bean,Alcoholic,Shot,Cordial glass,mix equal parts in pony glass-tastes just like a jelly bean!,"['Blackberry brandy', 'Anis']","['1 oz ', '1 oz ']","['Blackberry brandy (1 oz)', 'Anis (1 oz)']"
184,Jello shots,Alcoholic,Shot,Shot glass,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...","['Vodka', 'Jello', 'Water']","['2 cups ', '3 packages ', '3 cups ']","['Vodka (2 cups)', 'Jello (3 packages)', 'Water (3 cups)']"
185,Jamaica Kiss,Alcoholic,Shake,Hurricane glass,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,"['Coffee liqueur', 'Light rum', 'Ice', 'Milk']","['1 shot ', '1 shot Jamaican ', 'cubes', None]","['Coffee liqueur (1 shot)', 'Light rum (1 shot Jamaican)', 'Ice (cubes)', 'Milk']"
186,John Collins,Alcoholic,Ordinary Drink,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,"['Bourbon', 'Lemon juice', 'Sugar', 'Club soda', 'Maraschino cherry', 'Orange']","['2 oz ', '1 oz ', '1 tsp superfine ', '3 oz ', '1 ', '1 ']","['Bourbon (2 oz)', 'Lemon juice (1 oz)', 'Sugar (1 tsp superfine)', 'Club soda (3 oz)', 'Maraschino cherry (1)', 'Orange (1)']"
187,Japanese Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","['Blended whiskey', 'Lemon', 'Powdered sugar', 'Port', 'Egg white', 'Carbonated water']","['1 1/2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tblsp', '1 ', None]","['Blended whiskey (1 1/2 oz)', 'Lemon (Juice of 1/2)', 'Powdered sugar (1 tsp)', 'Port (1 tblsp)', 'Egg white (1)', 'Carbonated water']"
188,Jamaican Coffee,Alcoholic,Coffee / Tea,Champagne flute,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.","['Rum', 'Coffee', 'Water', 'Whipped cream']","['1/6 glass ', '1/6 glass strong black ', '1/2 glass cold ', None]","['Rum (1/6 glass)', 'Coffee (1/6 glass strong black)', 'Water (1/2 glass cold)', 'Whipped cream']"
189,Just a Moonmint,Non alcoholic,Shake,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","['Milk', 'Chocolate syrup', 'Mint syrup']","['2 cups ', None, None]","['Milk (2 cups)', 'Chocolate syrup', 'Mint syrup']"
190,Jewel Of The Nile,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","['Gin', 'Green Chartreuse', 'Yellow Chartreuse']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ']","['Gin (1 1/2 oz)', 'Green Chartreuse (1/2 oz)', 'Yellow Chartreuse (1/2 oz)']"
191,Jack Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","['Apple brandy', 'Grenadine', 'Lime']","['1 1/2 oz ', '1 tsp ', 'Juice of 1/2 ']","['Apple brandy (1 1/2 oz)', 'Grenadine (1 tsp)', 'Lime (Juice of 1/2)']"
